,origin,destination,flow,cost,O,D,log_O,log_D,log_cost,log_flow,spline_0,spline_1,spline_2,spline_3,spline_4,spline_5,spline_6,spline_7,spline_8
154,8743a1049ffffff,8743a13adffffff,1,8.697653135740943,1,905,0.0,6.807934943699926,9.070923480674264,0.6931471805599453,0.004417840190059259,0.32051520641267545,0.6076580528529693,0.06740890054429609,0.0,0.0,0.0,0.0,0.0
256,8743a1200ffffff,8743a1200ffffff,32,0.0,615,615,6.421622267806518,6.421622267806518,0.0,3.4965075614664802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,8743a1200ffffff,8743a1201ffffff,5,2.2558762631905145,615,115,6.421622267806518,4.74493212836325,7.721736951739354,1.791759469228055,0.5982312256765101,0.22115123333051318,0.015306805374376509,0.0,0.0,0.0,0.0,0.0,0.0
258,8743a1200ffffff,8743a1202ffffff,2,2.2855565909886453,615,68,6.421622267806518,4.219507705176107,7.734802292841535,1.0986122886681098,0.5982046202113483,0.2258718594361833,0.015918959345548184,0.0,0.0,0.0,0.0,0.0,0.0
259,8743a1200ffffff,8743a1203ffffff,69,2.4343583807636433,615,664,6.421622267806518,6.498282149476434,7.797849203645305,4.248495242049359,0.5958844393252607,0.24977352179744586,0.019235003956764612,0.0,0.0,0.0,0.0,0.0,0.0
260,8743a1200ffffff,8743a1204ffffff,6,2.4342986112614002,615,776,6.421622267806518,6.654152520183219,7.797824660959444,1.9459101490553132,0.5958860810822586,0.24976385417581837,0.019233587191187736,0.0,0.0,0.0,0.0,0.0,0.0
261,8743a1200ffffff,8743a1205ffffff,45,2.286159925615713,615,825,6.421622267806518,6.715383386334681,7.73506611970023,3.828641396489095,0.5982025370436851,0.22596800064902253,0.015931569396445813,0.0,0.0,0.0,0.0,0.0,0.0
262,8743a1200ffffff,8743a1206ffffff,1,2.255225547933293,615,172,6.421622267806518,5.147494476813453,7.721448584541376,0.6931471805599453,0.5982301343679661,0.22104793821120822,0.015293563293064213,0.0,0.0,0.0,0.0,0.0,0.0
263,8743a1200ffffff,8743a1218ffffff,5,6.406817674399148,615,63,6.421622267806518,4.143134726391533,8.765274035534285,1.791759469228055,0.0927828609877209,0.5677107414222767,0.33579401964169464,0.0037123779483078092,0.0,0.0,0.0,0.0,0.0
265,8743a1200ffffff,8743a1220ffffff,237,6.408194241249402,615,5552,6.421622267806518,8.62191350218664,8.765488838620152,5.472270673671475,0.09267626504476872,0.5676239962758121,0.3359764524124456,0.0037232862669735823,0.0,0.0,0.0,0.0,0.0
266,8743a1200ffffff,8743a1221ffffff,27,6.242861985890948,615,2040,6.421622267806518,7.620705086838262,8.739354177914251,3.332204510175204,0.10607216707085466,0.5772004660535107,0.31416755852584355,0.0025598083497912517,0.0,0.0,0.0,0.0,0.0
267,8743a1200ffffff,8743a1222ffffff,9,4.868536744467673,615,590,6.421622267806518,6.380122536899765,8.490754087212741,2.302585092994046,0.2702061576033674,0.5759127026972687,0.15386296349757178,0.0,0.0,0.0,0.0,0.0,0.0
268,8743a1200ffffff,8743a1223ffffff,18,4.1495559856024204,615,880,6.421622267806518,6.779921907472252,8.330997576685556,2.9444389791664403,0.3906530221520453,0.5091590261617279,0.0952672484540372,0.0,0.0,0.0,0.0,0.0,0.0
269,8743a1200ffffff,8743a1224ffffff,17,8.761509104870676,615,4105,6.421622267806518,8.31996102188653,9.078237570414565,2.8903717578961645,0.003799342539068909,0.312327817534803,0.6129109638520752,0.07096187607405302,0.0,0.0,0.0,0.0,0.0
270,8743a1200ffffff,8743a1225ffffff,14,8.300102047126831,615,2188,6.421622267806518,7.690743163541872,9.024143561732904,2.70805020110221,0.009824230609037504,0.3715263182032105,0.5707290058774461,0.04792044531030592,0.0,0.0,0.0,0.0,0.0
271,8743a1200ffffff,8743a1226ffffff,14,7.302713691166994,615,1494,6.421622267806518,7.309212365692763,8.896138222597278,2.70805020110221,0.03924742240712775,0.49032504723636217,0.4541473742082028,0.016280156148307214,0.0,0.0,0.0,0.0,0.0
277,8743a1200ffffff,8743a122effffff,5,4.5729228358013545,615,198,6.421622267806518,5.288267030694535,8.428126504261446,1.791759469228055,0.31844286797701515,0.5534309723696407,0.12750298606581265,0.0,0.0,0.0,0.0,0.0,0.0
278,8743a1200ffffff,8743a1231ffffff,6,4.098355816713725,615,459,6.421622267806518,6.129050210060545,8.318585122473392,1.9459101490553132,0.3993734571267324,0.5029783654111833,0.0917841561113255,0.0,0.0,0.0,0.0,0.0,0.0
302,8743a1200ffffff,8743a1270ffffff,3,10.213706796120583,615,471,6.421622267806518,6.154858094016418,9.23158380357209,1.3862943611198906,0.0,0.14619638546014152,0.6648788833442297,0.1889117177069995,1.301348862932656e-05,0.0,0.0,0.0,0.0
308,8743a1200ffffff,8743a12e0ffffff,20,11.095198285770978,615,268,6.421622267806518,5.5909869805108565,9.314357831857619,3.044522437723423,0.0,0.0793844961220765,0.6239428782722575,0.2949210979350599,0.0017515276706061259,0.0,0.0,0.0,0.0
309,8743a1200ffffff,8743a12e1ffffff,2,12.711432921733241,615,21,6.421622267806518,3.044522437723423,9.450335763783071,1.0986122886681098,0.0,0.015981946597869875,0.4523283201342619,0.5051109355912183,0.026578797676649883,0.0,0.0,0.0,0.0
311,8743a1200ffffff,8743a12e4ffffff,16,8.707090474113489,615,174,6.421622267806518,5.159055299214529,9.072007812070042,2.833213344056216,0.0043224940231651595,0.3193041007104941,0.6084470530278737,0.06792635223846712,0.0,0.0,0.0,0.0,0.0
312,8743a1200ffffff,8743a12e5ffffff,1,10.415561858018126,615,63,6.421622267806518,4.143134726391533,9.251152304815559,0.6931471805599453,0.0,0.12846862860004893,0.6600460566178716,0.21138962936048483,9.568542159467158e-05,0.0,0.0,0.0,0.0
313,8743a1200ffffff,8743a12e6ffffff,1,9.737785052971855,615,43,6.421622267806518,3.7612001156935624,9.183871650968264,0.6931471805599453,3.605805759255951e-05,0.19417915947066466,0.6639885156440529,0.14179626682768992,0.0,0.0,0.0,0.0,0.0
