,origin,destination,flow,cost,O,D,log_O,log_D,log_cost,log_flow,spline_0,spline_1,spline_2,spline_3,spline_4,spline_5,spline_6,spline_7,spline_8,spline_9,spline_10,spline_11,spline_12,spline_13,spline_14
148,89309824c9bffff,89309824003ffff,3,4.181833192904777,34054,3,10.43570277898059,1.0986122886681098,8.338744093263564,1.6094379124341003,0.3851394319727552,0.5129714546242622,0.09750768664955407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,89309824c9bffff,89309824007ffff,2,3.863807707734744,34054,2,10.43570277898059,0.6931471805599453,8.25966720758067,1.3862943611198906,0.43862235904080016,0.4727332247575337,0.07691043188790751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,89309824c9bffff,89309824017ffff,10,3.9611820718140702,34054,10,10.43570277898059,2.302585092994046,8.284550180724091,2.4849066497880004,0.4225025110675487,0.4856562095174171,0.08287301724477375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,89309824c9bffff,8930982402bffff,1,3.726372154719391,34054,1,10.43570277898059,0.0,8.223458748188706,1.0986122886681098,0.46078419198074505,0.4536961198010858,0.06899179024127211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,89309824c9bffff,89309824033ffff,1,3.546780678606836,34054,1,10.43570277898059,0.0,8.17407752601905,1.0986122886681098,0.4883726262789102,0.42758587136177095,0.059489694466646384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,89309824c9bffff,89309824067ffff,3,3.986889201680839,34054,3,10.43570277898059,1.0986122886681098,8.2910173477672,1.6094379124341003,0.4182005198500599,0.48898368800370473,0.08449698952455491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,89309824c9bffff,89309824083ffff,1,4.206600893651711,34054,1,10.43570277898059,0.0,8.34464790525499,1.0986122886681098,0.3809023022464292,0.515851761756723,0.09925049144573807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,89309824c9bffff,89309824087ffff,3,3.883049747198181,34054,3,10.43570277898059,1.0986122886681098,8.264633637567652,1.6094379124341003,0.43546112013853605,0.4753257983689849,0.07806522217890302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,89309824c9bffff,8930982408fffff,3,4.0759210152672924,34054,3,10.43570277898059,1.0986122886681098,8.31309732938344,1.6094379124341003,0.40318222795122666,0.5002199554742094,0.09028508579775346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,89309824c9bffff,89309824093ffff,1,4.351782991044784,34054,1,10.43570277898059,0.0,8.378570687574664,1.0986122886681098,0.35602491253143487,0.5319106075344847,0.1098855099153303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,89309824c9bffff,89309824097ffff,4,4.0288051190585925,34054,4,10.43570277898059,1.3862943611198906,8.301473296217765,1.791759469228055,0.4111511177881184,0.49433031405825956,0.08719016857870975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
