origin,destination,flow,cost,O,D,log_O,log_D,log_cost,log_flow
872a30664ffffff,872a30294ffffff,66,6.649163232467519,1775,66,7.4815557019095165,4.189654742026425,8.802396679584364,4.189654742026425
872a30664ffffff,872a30296ffffff,58,4.31341390889742,1775,58,7.4815557019095165,4.060443010546419,8.369716767849042,4.060443010546419
872a30664ffffff,872a30604ffffff,2,17.316003653677424,1775,2,7.4815557019095165,0.6931471805599453,9.759444167940027,0.6931471805599453
872a30664ffffff,872a30605ffffff,65,15.093676339319487,1775,76,7.4815557019095165,4.330733340286331,9.62209740032905,4.174387269895637
872a30664ffffff,872a3060cffffff,53,13.304818551545008,1775,53,7.4815557019095165,3.970291913552122,9.495956703619722,3.970291913552122
872a30664ffffff,872a3060dffffff,68,11.585520508131129,1775,68,7.4815557019095165,4.219507705176107,9.357597676258624,4.219507705176107
872a30664ffffff,872a30622ffffff,80,17.714046743108216,1775,80,7.4815557019095165,4.382026634673881,9.782169655913547,4.382026634673881
872a30664ffffff,872a30623ffffff,68,15.36869008284561,1775,68,7.4815557019095165,4.219507705176107,9.640152672558733,4.219507705176107
872a30664ffffff,872a30625ffffff,65,14.584432617660376,1775,65,7.4815557019095165,4.174387269895637,9.587778543682994,4.174387269895637
872a30664ffffff,872a30626ffffff,70,18.437583620390637,1775,70,7.4815557019095165,4.248495242049359,9.82220068398649,4.248495242049359
872a30664ffffff,872a3062affffff,58,12.947520846012605,1775,125,7.4815557019095165,4.8283137373023015,9.468736840218911,4.060443010546419
872a30664ffffff,872a3062effffff,61,13.055836467868218,1775,61,7.4815557019095165,4.110873864173311,9.477067142849881,4.110873864173311
872a30664ffffff,872a30631ffffff,41,19.588808069769577,1775,41,7.4815557019095165,3.713572066704308,9.882764713533245,3.713572066704308
872a30664ffffff,872a30635ffffff,88,20.080728794036805,1775,88,7.4815557019095165,4.477336814478207,9.907565665420234,4.477336814478207
872a30664ffffff,872a30661ffffff,1,4.186642298385599,1775,50,7.4815557019095165,3.912023005428146,8.339893157259981,0.0
872a30664ffffff,872a30662ffffff,14,4.380512215698211,1775,14,7.4815557019095165,2.6390573296152584,8.385149198509412,2.6390573296152584
872a30664ffffff,872a30664ffffff,29,0.0,1775,29,7.4815557019095165,3.367295829986474,0.0,3.367295829986474
872a30664ffffff,872a30672ffffff,2,10.161342454642902,1775,2,7.4815557019095165,0.6931471805599453,9.226444251117735,0.6931471805599453
872a30664ffffff,872a30673ffffff,32,9.170365388071286,1775,75,7.4815557019095165,4.31748811353631,9.123841451447904,3.4657359027997265
872a30664ffffff,872a30676ffffff,90,9.098117612084103,1775,90,7.4815557019095165,4.499809670330265,9.11593272209842,4.499809670330265
872a30664ffffff,872a3070affffff,16,18.292317345859818,1775,16,7.4815557019095165,2.772588722239781,9.814291099780464,2.772588722239781
872a30664ffffff,872a3070cffffff,34,19.176333072141436,1775,34,7.4815557019095165,3.5263605246161616,9.861484291435847,3.5263605246161616
872a30664ffffff,872a3070dffffff,43,16.91079365327958,1775,43,7.4815557019095165,3.7612001156935624,9.735766506834045,3.7612001156935624
872a30664ffffff,872a3070effffff,43,19.79552826450831,1775,43,7.4815557019095165,3.7612001156935624,9.893261861132393,3.7612001156935624
872a30664ffffff,872a3071bffffff,44,20.85589879175342,1775,44,7.4815557019095165,3.784189633918261,9.945440049801448,3.784189633918261
872a30664ffffff,872a30729ffffff,4,18.927825689693794,1775,4,7.4815557019095165,1.3862943611198906,9.848441207925951,1.3862943611198906
872a30664ffffff,872a3072bffffff,5,18.882060298318862,1775,5,7.4815557019095165,1.6094379124341003,9.846020518635966,1.6094379124341003
872a30664ffffff,872a30742ffffff,19,8.37869061564232,1775,19,7.4815557019095165,2.9444389791664403,9.033566273420167,2.9444389791664403
872a30664ffffff,872a30743ffffff,77,6.4330577413884,1775,77,7.4815557019095165,4.343805421853684,8.769360682174058,4.343805421853684
872a30664ffffff,872a30748ffffff,19,4.381163948303356,1775,19,7.4815557019095165,2.9444389791664403,8.385297933490978,2.9444389791664403
872a30664ffffff,872a30749ffffff,48,5.079998844271501,1775,48,7.4815557019095165,3.871201010907891,8.533263144132873,3.871201010907891
872a30664ffffff,872a3074affffff,38,2.468790667250834,1775,38,7.4815557019095165,3.6375861597263857,7.811888675929653,3.6375861597263857
872a30664ffffff,872a30751ffffff,91,8.711386679348399,1775,91,7.4815557019095165,4.51085950651685,9.07250104830969,4.51085950651685
872a30664ffffff,872a30752ffffff,28,12.152256688812527,1775,28,7.4815557019095165,3.332204510175204,9.405352453083813,3.332204510175204
872a30664ffffff,872a30753ffffff,44,9.720654951419707,1775,44,7.4815557019095165,3.784189633918261,9.182111145453211,3.784189633918261
872a30664ffffff,872a30755ffffff,81,10.528412630836257,1775,81,7.4815557019095165,4.394449154672439,9.261927823024864,4.394449154672439
872a30664ffffff,872a30762ffffff,3,13.644617129410122,1775,3,7.4815557019095165,1.0986122886681098,9.521173659632357,1.0986122886681098
