origin,destination,flow,cost,O,D,log_O,log_D,log_cost,log_flow
8729a002effffff,8729a0002ffffff,6,7.853154637364174,6083,6,8.713253274320705,1.791759469228055,8.968797923938803,1.791759469228055
8729a002effffff,8729a0003ffffff,1,6.928064989465856,6083,1,8.713253274320705,0.0,8.843480160926138,0.0
8729a002effffff,8729a0004ffffff,39,4.493191718722805,6083,39,8.713253274320705,3.6635616461296463,8.41054111287733,3.6635616461296463
8729a002effffff,8729a0005ffffff,32,2.6176308625980433,6083,32,8.713253274320705,3.4657359027997265,7.87040688863959,3.4657359027997265
8729a002effffff,8729a0006ffffff,2,6.892059796767748,6083,2,8.713253274320705,0.6931471805599453,8.838270357846973,0.6931471805599453
8729a002effffff,8729a0008ffffff,1,7.755614256920064,6083,1,8.713253274320705,0.0,8.956301210869698,0.0
8729a002effffff,8729a0009ffffff,6,9.271561130682352,6083,6,8.713253274320705,1.791759469228055,9.134814902028166,1.791759469228055
8729a002effffff,8729a000affffff,52,9.373130999874189,6083,52,8.713253274320705,3.9512437185814275,9.145709153195565,3.9512437185814275
8729a002effffff,8729a000effffff,2,6.891500207281078,6083,2,8.713253274320705,0.6931471805599453,8.838189172971376,0.6931471805599453
8729a002effffff,8729a0010ffffff,1,11.968800153634866,6083,1,8.713253274320705,0.0,9.390142102809877,0.0
8729a002effffff,8729a0012ffffff,2,14.549735474513,6083,2,8.713253274320705,0.6931471805599453,9.585396819398623,0.6931471805599453
8729a002effffff,8729a0013ffffff,9,13.089021947337715,6083,9,8.713253274320705,2.1972245773362196,9.479605535551716,2.1972245773362196
8729a002effffff,8729a0014ffffff,20,11.338078983970581,6083,20,8.713253274320705,2.995732273553991,9.336010355638608,2.995732273553991
8729a002effffff,8729a0015ffffff,1,9.408569399296788,6083,1,8.713253274320705,0.0,9.14948247162771,0.0
8729a002effffff,8729a0018ffffff,10,11.406701573466503,6083,10,8.713253274320705,2.302585092994046,9.342043982903297,2.302585092994046
8729a002effffff,8729a0019ffffff,12,11.36936335053244,6083,12,8.713253274320705,2.4849066497880004,9.338765543184932,2.4849066497880004
8729a002effffff,8729a001bffffff,49,13.578343092427385,6083,49,8.713253274320705,3.8918202981106265,9.516305026778264,3.8918202981106265
8729a002effffff,8729a001cffffff,1,9.445171688320738,6083,1,8.713253274320705,0.0,9.153364826060601,0.0
8729a002effffff,8729a001effffff,1,12.005443946176928,6083,1,8.713253274320705,0.0,9.393198780154385,0.0
8729a002effffff,8729a0021ffffff,2,2.585889614031568,6083,2,8.713253274320705,0.6931471805599453,7.85821151178651,0.6931471805599453
8729a002effffff,8729a0022ffffff,24,5.132549602325248,6083,24,8.713253274320705,3.1780538303479458,8.543552629169254,3.1780538303479458
8729a002effffff,8729a0023ffffff,20,2.5660621375582346,6083,20,8.713253274320705,2.995732273553991,7.850517386872771,2.995732273553991
