,origin,destination,flow,cost,O,D,log_O,log_D,log_cost,log_flow
0,8740190ceffffff,874019009ffffff,3,15.182336594457507,588,5,6.376726947898627,1.6094379124341003,9.627953828803122,1.0986122886681098
1,8740190ceffffff,874019019ffffff,3,13.832345914510254,588,3,6.376726947898627,1.0986122886681098,9.534837327032935,1.0986122886681098
2,8740190ceffffff,87401901affffff,19,15.139407299941702,588,19,6.376726947898627,2.9444389791664403,9.625122428871437,2.9444389791664403
4,8740190ceffffff,874019050ffffff,12,12.412434359867245,588,12,6.376726947898627,2.4849066497880004,9.42653458123977,2.4849066497880004
5,8740190ceffffff,874019053ffffff,36,10.326100556992577,588,36,6.376726947898627,3.58351893845611,9.242526840913875,3.58351893845611
7,8740190ceffffff,874019058ffffff,1,11.600003484857929,588,2,6.376726947898627,0.6931471805599453,9.358846880668253,0.0
8,8740190ceffffff,874019089ffffff,12,12.090482400484076,588,12,6.376726947898627,2.4849066497880004,9.40025654986278,2.4849066497880004
11,8740190ceffffff,8740190c2ffffff,3,4.837544430701622,588,3,6.376726947898627,1.0986122886681098,8.484369217021756,1.0986122886681098
15,8740190ceffffff,8740190c9ffffff,27,4.839341055924178,588,27,6.376726947898627,3.295836866004329,8.484740463328095,3.295836866004329
18,8740190ceffffff,8740190cdffffff,5,4.044918317299479,588,5,6.376726947898627,1.6094379124341003,8.305463829016604,1.6094379124341003
20,8740190ceffffff,8740190d0ffffff,2,8.565360406804356,588,4,6.376726947898627,1.3862943611198906,9.055598231397669,0.6931471805599453
22,8740190ceffffff,8740190d5ffffff,67,7.255641481540539,588,68,6.376726947898627,4.219507705176107,8.889672394935335,4.204692619390966
23,8740190ceffffff,8740190d6ffffff,33,10.926985406475659,588,37,6.376726947898627,3.6109179126442243,9.299082246384685,3.4965075614664802
25,8740190ceffffff,8740190d9ffffff,5,4.134293105908475,588,10,6.376726947898627,2.302585092994046,8.327313489083108,1.6094379124341003
26,8740190ceffffff,8740190dbffffff,2,6.2305904885589065,588,45,6.376726947898627,3.8066624897703196,8.737386874313035,0.6931471805599453
29,8740190ceffffff,8740190deffffff,1,6.129900477179035,588,2,6.376726947898627,0.6931471805599453,8.721096914908546,0.0
30,8740190ceffffff,8740190e2ffffff,73,8.972641314103834,588,73,6.376726947898627,4.290459441148391,9.10204681628135,4.290459441148391
31,8740190ceffffff,8740190e5ffffff,4,11.205818007400438,588,4,6.376726947898627,1.3862943611198906,9.324277622730419,1.3862943611198906
32,8740190ceffffff,8740190e6ffffff,3,11.393559721302202,588,3,6.376726947898627,1.0986122886681098,9.340891303048478,1.0986122886681098
33,8740190ceffffff,8740190e8ffffff,2,6.234773439783514,588,2,6.376726947898627,0.6931471805599453,8.738057898501566,0.6931471805599453
35,8740190ceffffff,8740190ebffffff,13,4.638017369657931,588,13,6.376726947898627,2.5649493574615367,8.44225784901245,2.5649493574615367
36,8740190ceffffff,8740190ecffffff,2,8.273366302228771,588,2,6.376726947898627,0.6931471805599453,9.020917617521796,0.6931471805599453
37,8740190ceffffff,8740190edffffff,28,8.450526106806391,588,28,6.376726947898627,3.332204510175204,9.042102308400002,3.332204510175204
38,8740190ceffffff,8740190eeffffff,19,6.406657351893932,588,19,6.376726947898627,2.9444389791664403,8.765249015391856,2.9444389791664403
40,8740190ceffffff,8740190f1ffffff,63,8.609176776192633,588,63,6.376726947898627,4.143134726391533,9.06070012870841,4.143134726391533
41,8740190ceffffff,8740190f2ffffff,2,11.223986434469998,588,2,6.376726947898627,0.6931471805599453,9.325897504099258,0.6931471805599453
43,8740190ceffffff,8740190f4ffffff,77,12.913201894300514,588,77,6.376726947898627,4.343805421853684,9.466082906818311,4.343805421853684
45,8740190ceffffff,87401910cffffff,1,35.805604502966396,588,1,6.376726947898627,0.0,10.48588763869692,0.0
46,8740190ceffffff,87401914dffffff,2,31.010869615348795,588,2,6.376726947898627,0.6931471805599453,10.342125301001003,0.6931471805599453
47,8740190ceffffff,8740193b4ffffff,1,8.347253236960375,588,1,6.376726947898627,0.0,9.029807602782558,0.0
48,8740190ceffffff,874019626ffffff,1,21.382648964116587,588,72,6.376726947898627,4.276666119016055,9.97038184186455,0.0
49,8740190ceffffff,874019754ffffff,1,14.425064589769043,588,5,6.376726947898627,1.6094379124341003,9.57679189037018,0.0
50,8740190ceffffff,874019766ffffff,51,6.403547864552712,588,53,6.376726947898627,3.970291913552122,8.764763620824763,3.9318256327243257
51,8740190ceffffff,874019770ffffff,12,10.315195092630724,588,19,6.376726947898627,2.9444389791664403,9.241470278477193,2.4849066497880004
52,8740190ceffffff,874019771ffffff,1,10.490544594533965,588,9,6.376726947898627,2.1972245773362196,9.258324935025103,0.0
53,8740190ceffffff,8740197b6ffffff,1,36.70957366816416,588,51,6.376726947898627,3.9318256327243257,10.510820103395861,0.0
54,874019319ffffff,87401904affffff,1,16.035259832672182,864,1,6.761572768804055,0.0,9.682607676716199,0.0
56,874019319ffffff,874019059ffffff,8,16.964140875117653,864,8,6.761572768804055,2.0794415416798357,9.73891598105168,2.0794415416798357
57,874019319ffffff,87401905bffffff,15,18.144087993611596,864,15,6.761572768804055,2.70805020110221,9.806155169104224,2.70805020110221
58,874019319ffffff,874019061ffffff,1,23.767560309762374,864,1,6.761572768804055,0.0,10.076118990987869,0.0
59,874019319ffffff,874019204ffffff,5,7.4189777331045805,864,5,6.761572768804055,1.6094379124341003,8.91193133522762,1.6094379124341003
60,874019319ffffff,874019206ffffff,2,8.794241435038039,864,2,6.761572768804055,0.6931471805599453,9.081966108192038,0.6931471805599453
61,874019319ffffff,874019210ffffff,15,12.421005443935373,864,15,6.761572768804055,2.70805020110221,9.427224811368658,2.70805020110221
62,874019319ffffff,874019212ffffff,94,14.453656752529179,864,94,6.761572768804055,4.543294782270004,9.578771908234863,4.543294782270004
63,874019319ffffff,874019214ffffff,20,10.336200347159123,864,20,6.761572768804055,2.995732273553991,9.243504351938093,2.995732273553991
65,874019319ffffff,874019216ffffff,15,12.483976869159875,864,15,6.761572768804055,2.70805020110221,9.432281350021718,2.70805020110221
69,874019319ffffff,874019223ffffff,64,6.59838257872623,864,64,6.761572768804055,4.1588830833596715,8.794731374960723,4.1588830833596715
70,874019319ffffff,874019224ffffff,20,2.4252282641104332,864,20,6.761572768804055,2.995732273553991,7.794093175807515,2.995732273553991
71,874019319ffffff,874019225ffffff,100,4.850899679676965,864,100,6.761572768804055,4.605170185988092,8.487125593773717,4.605170185988092
73,874019319ffffff,87401922cffffff,1,8.88040926193684,864,1,6.761572768804055,0.0,9.09171552406316,0.0
75,874019319ffffff,874019230ffffff,96,6.244078625413193,864,96,6.761572768804055,4.564348191467836,8.739549012618644,4.564348191467836
77,874019319ffffff,874019232ffffff,10,8.462062578066623,864,10,6.761572768804055,2.302585092994046,9.04346639395526,2.302585092994046
80,874019319ffffff,874019273ffffff,1,19.41582658321951,864,1,6.761572768804055,0.0,9.873895318771561,0.0
83,874019319ffffff,8740192a2ffffff,3,19.16832588628635,864,6,6.761572768804055,1.791759469228055,9.861066670386768,1.0986122886681098
88,874019319ffffff,8740192aeffffff,1,18.57854152493366,864,1,6.761572768804055,0.0,9.82981633633322,0.0
89,874019319ffffff,8740192b5ffffff,1,19.90351384439465,864,4,6.761572768804055,1.3862943611198906,9.898701811342866,0.0
90,874019319ffffff,87401930affffff,4,2.324953984619146,864,4,6.761572768804055,1.3862943611198906,7.751885549830105,1.3862943611198906
91,874019319ffffff,87401930bffffff,4,4.056993916778546,864,7,6.761572768804055,1.9459101490553132,8.308444021315772,1.3862943611198906
92,874019319ffffff,874019310ffffff,33,8.876429425496058,864,33,6.761572768804055,3.4965075614664802,9.091267314968245,3.4965075614664802
93,874019319ffffff,874019316ffffff,1,11.247453582677958,864,1,6.761572768804055,0.0,9.327985938866654,0.0
94,874019319ffffff,874019318ffffff,23,2.4247845314092564,864,23,6.761572768804055,3.1354942159291497,7.793910269157795,3.1354942159291497
97,874019319ffffff,874019329ffffff,1,10.737076973413712,864,1,6.761572768804055,0.0,9.281551299276222,0.0
98,874019319ffffff,874019343ffffff,2,14.853549283874667,864,2,6.761572768804055,0.6931471805599453,9.606061446398016,0.6931471805599453
99,874019319ffffff,874019352ffffff,99,7.2770136647356845,864,99,6.761572768804055,4.59511985013459,8.892613255710282,4.59511985013459
100,874019319ffffff,874019353ffffff,1,9.703569636582793,864,1,6.761572768804055,0.0,9.180352150115258,0.0
101,874019319ffffff,874019356ffffff,23,6.267852524872409,864,23,6.761572768804055,3.1354942159291497,8.743348606491347,3.1354942159291497
102,874019319ffffff,87401935cffffff,3,13.359212564408715,864,3,6.761572768804055,1.0986122886681098,9.5000363574737,1.0986122886681098
103,874019319ffffff,874019384ffffff,1,14.29702444704702,864,1,6.761572768804055,0.0,9.56787665614818,0.0
104,874019319ffffff,874019386ffffff,6,16.209028562853415,864,6,6.761572768804055,1.791759469228055,9.693385376779583,1.791759469228055
105,874019319ffffff,874019399ffffff,7,16.25619521501017,864,7,6.761572768804055,1.9459101490553132,9.696290872220821,1.9459101490553132
106,874019319ffffff,87401939bffffff,4,18.57586441153111,864,8,6.761572768804055,2.0794415416798357,9.829672236636831,1.3862943611198906
107,874019319ffffff,8740193a3ffffff,8,12.523485490032838,864,8,6.761572768804055,2.0794415416798357,9.435440846469222,2.0794415416798357
108,874019319ffffff,8740193a6ffffff,1,15.74058504750988,864,2,6.761572768804055,0.6931471805599453,9.664061218776133,0.0
109,874019319ffffff,8740193b0ffffff,15,18.77910222976959,864,15,6.761572768804055,2.70805020110221,9.840553196292145,2.70805020110221
110,874019319ffffff,8740193b1ffffff,39,16.512819446766223,864,39,6.761572768804055,3.6635616461296463,9.711952851574152,3.6635616461296463
111,874019319ffffff,8740193b2ffffff,8,20.523877961095874,864,8,6.761572768804055,2.0794415416798357,9.929392988436733,2.0794415416798357
114,874019319ffffff,8740193b5ffffff,5,17.170626856176764,864,5,6.761572768804055,1.6094379124341003,9.751013699325965,1.6094379124341003
115,874019319ffffff,874019655ffffff,1,41.24216458875332,864,78,6.761572768804055,4.356708826689592,10.627240671092602,0.0
116,874019319ffffff,874019706ffffff,1,44.50158417563661,864,5,6.761572768804055,1.6094379124341003,10.703302537830876,0.0
117,874019319ffffff,874019732ffffff,7,48.717728234963595,864,11,6.761572768804055,2.3978952727983707,10.793818798491424,1.9459101490553132
118,874019319ffffff,874019750ffffff,1,35.642417983432395,864,47,6.761572768804055,3.8501476017100584,10.481319780000723,0.0
119,874019319ffffff,874019ac1ffffff,2,21.487373367687148,864,2,6.761572768804055,0.6931471805599453,9.975267294249031,0.6931471805599453
120,874019319ffffff,874019ac3ffffff,23,19.210293608175355,864,23,6.761572768804055,3.1354942159291497,9.863253593848041,3.1354942159291497
121,874019319ffffff,874019aceffffff,5,19.95074146409199,864,5,6.761572768804055,1.6094379124341003,9.901071709941517,1.6094379124341003
122,874019319ffffff,874019ad1ffffff,1,16.590311750109855,864,1,6.761572768804055,0.0,9.71663444878144,0.0
123,874019319ffffff,874019ad9ffffff,1,16.28850671616112,864,1,6.761572768804055,0.0,9.69827641974786,0.0
124,874019319ffffff,874019adcffffff,3,16.948277958171467,864,3,6.761572768804055,1.0986122886681098,9.737980513563295,1.0986122886681098
125,874019319ffffff,874019addffffff,3,17.636325249274513,864,3,6.761572768804055,1.0986122886681098,9.777772688204092,1.0986122886681098
126,874019319ffffff,87401a45affffff,1,255.63046076998484,864,12,6.761572768804055,2.4849066497880004,12.45149207986562,0.0
127,874019319ffffff,87401b935ffffff,1,120.3326976331495,864,2,6.761572768804055,0.6931471805599453,11.69802397606462,0.0
129,874019319ffffff,8740e4d83ffffff,8,28.6369615679715,864,8,6.761572768804055,2.0794415416798357,10.2624884442389,2.0794415416798357
130,874019319ffffff,8740e4d86ffffff,8,27.401718094600557,864,8,6.761572768804055,2.0794415416798357,10.21839748798898,2.0794415416798357
131,874019319ffffff,8740e4d90ffffff,18,22.896589800362932,864,18,6.761572768804055,2.8903717578961645,10.03878693511083,2.8903717578961645
132,874019319ffffff,8740e4d94ffffff,18,23.57665950607351,864,18,6.761572768804055,2.8903717578961645,10.06805491157694,2.8903717578961645
134,874019319ffffff,8740e4d96ffffff,1,21.28926784092426,864,1,6.761572768804055,0.0,9.966005338406054,0.0
135,874019602ffffff,874019009ffffff,2,43.31101229711582,224,5,5.4116460518550396,1.6094379124341003,10.676185295773413,0.6931471805599453
136,874019602ffffff,8740190c4ffffff,1,33.03673061606473,224,1,5.4116460518550396,0.0,10.40540553932147,0.0
137,874019602ffffff,8740190eaffffff,5,33.039411598483625,224,7,5.4116460518550396,1.9459101490553132,10.405486685138543,1.6094379124341003
138,874019602ffffff,87401922dffffff,1,53.44603989189439,224,1,5.4116460518550396,0.0,10.886446534038312,0.0
139,874019602ffffff,8740193a6ffffff,1,38.91650273920805,224,2,5.4116460518550396,0.6931471805599453,10.569199370294998,0.0
140,874019602ffffff,8740193abffffff,1,39.51322668314219,224,1,5.4116460518550396,0.0,10.584416055237332,0.0
141,874019602ffffff,8740193b6ffffff,1,33.74353611945613,224,1,5.4116460518550396,0.0,10.426573790437773,0.0
157,874019602ffffff,874019621ffffff,66,8.423713368576646,224,304,5.4116460518550396,5.717027701406222,9.038924733107887,4.189654742026425
158,874019602ffffff,874019622ffffff,1,6.390162091532778,224,78,5.4116460518550396,4.356708826689592,8.762671391796626,0.0
159,874019602ffffff,874019625ffffff,1,10.294865870238338,224,29,5.4116460518550396,3.367295829986474,9.239497721824977,0.0
160,874019602ffffff,874019633ffffff,92,4.298619582682146,224,113,5.4116460518550396,4.727387818712341,8.366281828624341,4.5217885770490405
161,874019602ffffff,8740196a1ffffff,1,8.313535571801609,224,1,5.4116460518550396,0.0,9.025760535803935,0.0
162,874019602ffffff,8740196a6ffffff,2,12.092501984402576,224,9,5.4116460518550396,2.1972245773362196,9.400423561252248,0.6931471805599453
163,874019602ffffff,8740196a8ffffff,1,8.415570021377409,224,62,5.4116460518550396,4.127134385045092,9.037957663360846,0.0
166,874019602ffffff,8740196c2ffffff,1,17.249348136809854,224,2,5.4116460518550396,0.6931471805599453,9.755587604099905,0.0
167,874019602ffffff,8740196d2ffffff,1,19.15153668689386,224,21,5.4116460518550396,3.044522437723423,9.860190449903767,0.0
168,874019602ffffff,8740196f4ffffff,1,8.759851680387978,224,1,5.4116460518550396,0.0,9.078048402993092,0.0
169,874019602ffffff,8740196f6ffffff,24,10.462104568246627,224,57,5.4116460518550396,4.04305126783455,9.255610497429036,3.1780538303479458
170,874019602ffffff,874019709ffffff,1,14.40278861795122,224,122,5.4116460518550396,4.804021044733257,9.575246549428593,0.0
171,874019602ffffff,87401970cffffff,1,16.855937617269824,224,31,5.4116460518550396,3.4339872044851463,9.732517579071665,0.0
172,874019602ffffff,87401971dffffff,1,13.613301189458946,224,80,5.4116460518550396,4.382026634673881,9.51887607727272,0.0
173,874019602ffffff,874019729ffffff,1,20.63595551142216,224,6,5.4116460518550396,1.791759469228055,9.93483870442411,0.0
174,874019602ffffff,874019741ffffff,1,19.73216108176068,224,2,5.4116460518550396,0.6931471805599453,9.89005580320106,0.0
175,874019602ffffff,874019754ffffff,1,14.62881388972315,224,5,5.4116460518550396,1.6094379124341003,9.590816772793348,0.0
176,874019602ffffff,874019763ffffff,3,22.140753656380447,224,11,5.4116460518550396,2.3978952727983707,10.00522041073113,1.0986122886681098
177,874019602ffffff,87401976cffffff,1,25.460300114163754,224,11,5.4116460518550396,2.3978952727983707,10.144914935778708,0.0
178,874019602ffffff,874019774ffffff,2,20.60070216870582,224,24,5.4116460518550396,3.1780538303479458,9.933128980912866,0.6931471805599453
