,origin,destination,flow,cost,O,D,log_O,log_D,log_cost,log_flow
4,87309a080ffffff,87309a085ffffff,11,2.0740038591844216,232,11,5.44673737166631,2.3978952727983707,7.637718292510983,2.3978952727983707
6,87309a080ffffff,87309a088ffffff,9,5.783525690716394,232,10,5.44673737166631,2.302585092994046,8.662941646761942,2.1972245773362196
7,87309a080ffffff,87309a08affffff,1,6.040472704493474,232,3,5.44673737166631,1.0986122886681098,8.70640308645558,0.0
10,87309a080ffffff,87309a090ffffff,1,5.306968157016909,232,93,5.44673737166631,4.532599493153256,8.576964396379264,0.0
11,87309a080ffffff,87309a091ffffff,10,4.150005085337035,232,41,5.44673737166631,3.713572066704308,8.331105773139505,2.302585092994046
12,87309a080ffffff,87309a094ffffff,26,5.317055519854195,232,73,5.44673737166631,4.290459441148391,8.578863011736095,3.258096538021482
13,87309a080ffffff,87309a095ffffff,26,3.4557942377178117,232,59,5.44673737166631,4.07753744390572,8.148096917675177,3.258096538021482
14,87309a080ffffff,87309a096ffffff,5,6.9137872242764145,232,14,5.44673737166631,2.6390573296152584,8.841417473455731,1.6094379124341003
15,87309a080ffffff,87309a099ffffff,1,6.937814991922546,232,3,5.44673737166631,1.0986122886681098,8.844886288477896,0.0
16,87309a080ffffff,87309a09cffffff,2,3.868866795099174,232,33,5.44673737166631,3.4965075614664802,8.260975365560435,0.6931471805599453
17,87309a080ffffff,87309a0a4ffffff,1,8.267356656273385,232,6,5.44673737166631,1.791759469228055,9.020191056817755,0.0
18,87309a080ffffff,87309a0aaffffff,76,3.4535955536795018,232,91,5.44673737166631,4.51085950651685,8.147460668185902,4.330733340286331
21,87309a080ffffff,87309a0b3ffffff,1,4.167181868418216,232,15,5.44673737166631,2.70805020110221,8.335235216938592,0.0
22,87309a080ffffff,87309a0b6ffffff,1,7.784851955650959,232,25,5.44673737166631,3.2188758248682006,8.960063513816879,0.0
23,87309a080ffffff,87309a18effffff,1,12.82607041807798,232,5,5.44673737166631,1.6094379124341003,9.459313093117009,0.0
24,87309a080ffffff,87309a42cffffff,43,19.36388470352258,232,61,5.44673737166631,4.110873864173311,9.871216638072237,3.7612001156935624
25,87309a080ffffff,87309a42dffffff,10,17.465540567958683,232,22,5.44673737166631,3.091042453358316,9.768042362223285,2.302585092994046
26,87309a080ffffff,87309a546ffffff,1,16.684486079507398,232,47,5.44673737166631,3.8501476017100584,9.722294523485571,0.0
27,87309a080ffffff,87309a549ffffff,2,7.300559285119235,232,16,5.44673737166631,2.772588722239781,8.895843205028365,0.6931471805599453
28,87309a080ffffff,87309a54cffffff,2,10.422880261469967,232,57,5.44673737166631,4.04305126783455,9.25185463192654,0.6931471805599453
29,87309a080ffffff,87309a55cffffff,1,14.610363335525076,232,124,5.44673737166631,4.820281565605037,9.589554815622161,0.0
30,87309a080ffffff,8741966a3ffffff,1,50.42940575113624,232,10,5.44673737166631,2.302585092994046,10.828349560867002,0.0
