,origin,destination,flow,cost,O,D,log_O,log_D,log_cost,log_flow
0,8930100016fffff,8930100016fffff,1,0.0,3,38,1.0986122886681098,3.6375861597263857,0.0,0.0
1,8930100016fffff,893010003abffff,1,0.890548648794407,3,49,1.0986122886681098,3.8918202981106265,6.79296000540985,0.0
2,8930100016fffff,89301000e8bffff,1,0.5312806090993152,3,15,1.0986122886681098,2.70805020110221,6.277170810996138,0.0
3,8930100020bffff,8930100020bffff,2,0.0,2,67,0.6931471805599453,4.204692619390966,0.0,0.6931471805599453
4,89301000213ffff,89301000203ffff,1,0.3106401272789674,2,27,0.6931471805599453,3.295836866004329,5.741849083879233,0.0
5,89301000213ffff,893010003c3ffff,1,1.4051090135997963,2,25,0.6931471805599453,3.2188758248682006,7.248581603930961,0.0
6,89301000233ffff,893010002afffff,1,0.2616985160874027,1,15,0.0,2.70805020110221,5.571007047978939,0.0
7,8930100023bffff,89301000207ffff,2,0.31063771339520324,3,5,1.0986122886681098,1.6094379124341003,5.741841338108064,0.6931471805599453
8,8930100023bffff,893010002afffff,1,0.5234110623393978,3,15,1.0986122886681098,2.70805020110221,6.262275846898542,0.0
9,89301000267ffff,89301001597ffff,1,3.2325126604413783,1,2,0.0,0.6931471805599453,8.081324336277584,0.0
10,8930100027bffff,8930100016fffff,1,3.4075393073785394,3,38,1.0986122886681098,3.6375861597263857,8.134039122899624,0.0
11,8930100027bffff,8930100020fffff,1,0.5234836350121013,3,5,1.0986122886681098,1.6094379124341003,6.262414226228712,0.0
12,8930100027bffff,8930100027bffff,1,0.0,3,100,1.0986122886681098,4.605170185988092,0.0,0.0
13,8930100028bffff,893010003c3ffff,1,1.6142248270349684,1,25,0.0,3.2188758248682006,7.387229437754054,0.0
14,893010002afffff,893010002afffff,1,0.0,1,15,0.0,2.70805020110221,0.0,0.0
15,893010002c3ffff,89301000217ffff,1,0.8431739143628579,2,18,0.6931471805599453,2.8903717578961645,6.738358533040212,0.0
16,893010002c3ffff,893010002dbffff,1,0.2810820823202252,2,8,0.6931471805599453,2.0794415416798357,5.642198100642397,0.0
17,893010002c7ffff,893010002c7ffff,1,0.0,2,19,0.6931471805599453,2.9444389791664403,0.0,0.0
18,893010002c7ffff,89301001513ffff,1,1.6866009845083936,2,25,0.6931471805599453,3.2188758248682006,7.431063263627824,0.0
19,89301000317ffff,89301000317ffff,1,0.0,2,49,0.6931471805599453,3.8918202981106265,0.0,0.0
20,89301000317ffff,893010003a7ffff,1,0.6971337503881114,2,31,0.6931471805599453,3.4339872044851463,6.548410703872916,0.0
21,8930100032bffff,89301000e5bffff,1,0.5618713521963705,1,5,0.0,1.6094379124341003,6.3330510979369485,0.0
22,8930100034fffff,8930100034fffff,1,0.0,1,50,0.0,3.912023005428146,0.0,0.0
23,8930100036bffff,8930100036fffff,1,0.2809727193969691,1,55,0.0,4.007333185232471,5.6418103265314645,0.0
24,8930100036fffff,8930100034fffff,1,0.7913196653373157,9,50,2.1972245773362196,3.912023005428146,6.674964928232798,0.0
25,8930100036fffff,8930100036bffff,3,0.2809727193969691,9,44,2.1972245773362196,3.784189633918261,5.6418103265314645,1.0986122886681098
26,8930100036fffff,8930100036fffff,4,0.0,9,55,2.1972245773362196,4.007333185232471,0.0,1.3862943611198906
27,8930100036fffff,89301001ca7ffff,1,0.4454076526159618,9,41,2.1972245773362196,3.713572066704308,6.101232553877066,0.0
28,893010003a3ffff,893010152cbffff,1,8.35461766864713,1,68,0.0,4.219507705176107,9.030689366321743,0.0
29,893010003a7ffff,8930100016fffff,1,0.4452528309198061,2,38,0.6931471805599453,3.6375861597263857,6.100885676871612,0.0
30,893010003a7ffff,893010003a7ffff,1,0.0,2,31,0.6931471805599453,3.4339872044851463,0.0,0.0
31,893010003abffff,893010003a7ffff,1,0.4452958178746009,4,31,1.3862943611198906,3.4339872044851463,6.100982000931675,0.0
32,893010003abffff,893010003abffff,1,0.0,4,49,1.3862943611198906,3.8918202981106265,0.0,0.0
33,893010003abffff,893010003afffff,1,0.28093739870705825,4,28,1.3862943611198906,3.332204510175204,5.6416850558940945,0.0
34,893010003abffff,89301001eafffff,1,3.576670437231286,4,2,1.3862943611198906,0.6931471805599453,8.18246715173011,0.0
35,893010003afffff,89301000c0bffff,1,2.2259448879541837,1,6,0.0,1.791759469228055,7.708385919737044,0.0
36,893010003c3ffff,89301000313ffff,1,0.5619592055485447,1,10,0.0,2.302585092994046,6.333207166453207,0.0
37,89301000807ffff,89301000807ffff,1,0.0,2,15,0.6931471805599453,2.70805020110221,0.0,0.0
38,89301000807ffff,89301000833ffff,1,0.2807780143211776,2,19,0.6931471805599453,2.9444389791664403,5.641119577688446,0.0
39,89301000817ffff,89301000817ffff,1,0.0,4,41,1.3862943611198906,3.713572066704308,0.0,0.0
40,89301000817ffff,89301000887ffff,1,0.500778971972164,4,3,1.3862943611198906,1.0986122886681098,6.218159727857311,0.0
41,89301000817ffff,89301000c73ffff,1,1.6471280820137038,4,6,1.3862943611198906,1.791759469228055,7.407395427117909,0.0
42,89301000817ffff,8930100a637ffff,1,14.042518387660413,4,2,1.3862943611198906,0.6931471805599453,9.549916243597226,0.0
43,8930100082bffff,893010009d3ffff,1,1.0460984395677806,1,12,0.0,2.4849066497880004,6.953778227050477,0.0
44,8930100082fffff,8930100082fffff,1,0.0,1,5,0.0,1.6094379124341003,0.0,0.0
45,89301000833ffff,89301000833ffff,3,0.0,3,19,1.0986122886681098,2.9444389791664403,0.0,1.0986122886681098
46,89301000837ffff,89301000837ffff,1,0.0,1,13,0.0,2.5649493574615367,0.0,0.0
47,89301000863ffff,89301000863ffff,1,0.0,1,10,0.0,2.302585092994046,0.0,0.0
48,8930100088bffff,8930100088bffff,2,0.0,5,41,1.6094379124341003,3.713572066704308,0.0,0.6931471805599453
49,8930100088bffff,893010008d7ffff,3,0.2808073222454451,5,51,1.6094379124341003,3.9318256327243257,5.641223582964639,1.0986122886681098
50,8930100088fffff,89301000883ffff,1,0.3105070753691801,2,19,0.6931471805599453,2.9444389791664403,5.741422051835299,0.0
51,8930100088fffff,89301000c63ffff,1,1.062331567211043,2,9,0.6931471805599453,2.1972245773362196,6.969162246179348,0.0
52,893010008a3ffff,893010008dbffff,1,1.5145225729429272,1,38,0.0,3.6375861597263857,7.3235155911034795,0.0
