"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1400000US36001000100","Census Tract 1; Albany County; New York","2156","441",
"1400000US36001000201","Census Tract 2.01; Albany County; New York","2519","583",
"1400000US36001000202","Census Tract 2.02; Albany County; New York","2436","690",
"1400000US36001000301","Census Tract 3.01; Albany County; New York","2378","680",
"1400000US36001000302","Census Tract 3.02; Albany County; New York","3273","500",
"1400000US36001000401","Census Tract 4.01; Albany County; New York","2321","359",
"1400000US36001000403","Census Tract 4.03; Albany County; New York","4131","729",
"1400000US36001000404","Census Tract 4.04; Albany County; New York","5303","71",
"1400000US36001000501","Census Tract 5.01; Albany County; New York","3992","677",
"1400000US36001000502","Census Tract 5.02; Albany County; New York","3594","417",
"1400000US36001000600","Census Tract 6; Albany County; New York","3153","556",
"1400000US36001000700","Census Tract 7; Albany County; New York","3744","620",
"1400000US36001000800","Census Tract 8; Albany County; New York","1362","385",
"1400000US36001001100","Census Tract 11; Albany County; New York","2074","336",
"1400000US36001001400","Census Tract 14; Albany County; New York","3594","554",
"1400000US36001001500","Census Tract 15; Albany County; New York","5664","860",
"1400000US36001001600","Census Tract 16; Albany County; New York","4607","713",
"1400000US36001001700","Census Tract 17; Albany County; New York","4768","738",
"1400000US36001001802","Census Tract 18.02; Albany County; New York","4201","486",
"1400000US36001001803","Census Tract 18.03; Albany County; New York","3583","479",
"1400000US36001001804","Census Tract 18.04; Albany County; New York","3692","529",
"1400000US36001001901","Census Tract 19.01; Albany County; New York","2596","306",
"1400000US36001001902","Census Tract 19.02; Albany County; New York","2562","362",
"1400000US36001002000","Census Tract 20; Albany County; New York","6769","1079",
"1400000US36001002100","Census Tract 21; Albany County; New York","3574","479",
"1400000US36001002200","Census Tract 22; Albany County; New York","2466","466",
"1400000US36001002300","Census Tract 23; Albany County; New York","2015","368",
"1400000US36001002500","Census Tract 25; Albany County; New York","2653","677",
"1400000US36001002600","Census Tract 26; Albany County; New York","4901","666",
"1400000US36001012700","Census Tract 127; Albany County; New York","3586","550",
"1400000US36001012800","Census Tract 128; Albany County; New York","3892","659",
"1400000US36001012900","Census Tract 129; Albany County; New York","3645","592",
"1400000US36001013000","Census Tract 130; Albany County; New York","6920","621",
"1400000US36001013100","Census Tract 131; Albany County; New York","2966","17",
"1400000US36001013200","Census Tract 132; Albany County; New York","3231","507",
"1400000US36001013300","Census Tract 133; Albany County; New York","4043","469",
"1400000US36001013400","Census Tract 134; Albany County; New York","3011","430",
"1400000US36001013503","Census Tract 135.03; Albany County; New York","5306","540",
"1400000US36001013505","Census Tract 135.05; Albany County; New York","3164","506",
"1400000US36001013507","Census Tract 135.07; Albany County; New York","2377","363",
"1400000US36001013509","Census Tract 135.09; Albany County; New York","3272","646",
"1400000US36001013510","Census Tract 135.10; Albany County; New York","3556","524",
"1400000US36001013511","Census Tract 135.11; Albany County; New York","3559","636",
"1400000US36001013512","Census Tract 135.12; Albany County; New York","3917","430",
"1400000US36001013602","Census Tract 136.02; Albany County; New York","4503","14",
"1400000US36001013603","Census Tract 136.03; Albany County; New York","3032","581",
"1400000US36001013604","Census Tract 136.04; Albany County; New York","7495","655",
"1400000US36001013703","Census Tract 137.03; Albany County; New York","2343","221",
"1400000US36001013706","Census Tract 137.06; Albany County; New York","2054","278",
"1400000US36001013707","Census Tract 137.07; Albany County; New York","6004","801",
"1400000US36001013708","Census Tract 137.08; Albany County; New York","3457","328",
"1400000US36001013709","Census Tract 137.09; Albany County; New York","2766","473",
"1400000US36001013802","Census Tract 138.02; Albany County; New York","4573","467",
"1400000US36001013803","Census Tract 138.03; Albany County; New York","3694","672",
"1400000US36001013804","Census Tract 138.04; Albany County; New York","3922","469",
"1400000US36001013901","Census Tract 139.01; Albany County; New York","2354","430",
"1400000US36001013902","Census Tract 139.02; Albany County; New York","5351","429",
"1400000US36001014001","Census Tract 140.01; Albany County; New York","3467","347",
"1400000US36001014002","Census Tract 140.02; Albany County; New York","5260","653",
"1400000US36001014100","Census Tract 141; Albany County; New York","5791","663",
"1400000US36001014201","Census Tract 142.01; Albany County; New York","6039","677",
"1400000US36001014202","Census Tract 142.02; Albany County; New York","6279","578",
