,872a10000ffffff,872a10001ffffff,872a10002ffffff,872a10003ffffff,872a10004ffffff,872a10005ffffff,872a10006ffffff,872a10008ffffff,872a10009ffffff,872a1000affffff,872a1000bffffff,872a1000cffffff,872a1000dffffff,872a1000effffff,872a10010ffffff,872a10011ffffff,872a10012ffffff,872a10013ffffff,872a10014ffffff,872a10015ffffff,872a10016ffffff,872a10018ffffff,872a10019ffffff,872a1001affffff,872a1001bffffff,872a1001cffffff,872a1001dffffff,872a1001effffff,872a10022ffffff,872a10023ffffff,872a10030ffffff,872a10031ffffff,872a10032ffffff,872a10033ffffff,872a10040ffffff,872a10042ffffff,872a10043ffffff,872a10044ffffff,872a10046ffffff,872a1004affffff,872a10050ffffff,872a10051ffffff,872a10052ffffff,872a10053ffffff,872a10054ffffff,872a10055ffffff,872a10056ffffff,872a10058ffffff,872a10059ffffff,872a1005affffff,872a1005bffffff,872a1005cffffff,872a1005dffffff,872a1005effffff,872a10070ffffff,872a10071ffffff,872a10072ffffff,872a10073ffffff,872a10080ffffff,872a10081ffffff,872a10084ffffff,872a10085ffffff,872a10088ffffff,872a10089ffffff,872a1008affffff,872a1008bffffff,872a1008cffffff,872a1008dffffff,872a1008effffff,872a100a0ffffff,872a100a1ffffff,872a100a2ffffff,872a100a3ffffff,872a100a4ffffff,872a100a5ffffff,872a100a6ffffff,872a100a8ffffff,872a100a9ffffff,872a100aaffffff,872a100abffffff,872a100acffffff,872a100adffffff,872a100aeffffff,872a100c0ffffff,872a100c1ffffff,872a100c2ffffff,872a100c3ffffff,872a100c4ffffff,872a100c5ffffff,872a100c6ffffff,872a100c8ffffff,872a100c9ffffff,872a100caffffff,872a100cbffffff,872a100ccffffff,872a100cdffffff,872a100ceffffff,872a100d0ffffff,872a100d1ffffff,872a100d2ffffff,872a100d3ffffff,872a100d4ffffff,872a100d5ffffff,872a100d6ffffff,872a100d8ffffff,872a100d9ffffff,872a100daffffff,872a100dbffffff,872a100dcffffff,872a100ddffffff,872a100deffffff,872a100e0ffffff,872a100e1ffffff,872a100e2ffffff,872a100e3ffffff,872a100e4ffffff,872a100e5ffffff,872a100e6ffffff,872a100e8ffffff,872a100e9ffffff,872a100eaffffff,872a100ebffffff,872a100ecffffff,872a100edffffff,872a100eeffffff,872a100f0ffffff,872a100f1ffffff,872a100f2ffffff,872a100f3ffffff,872a100f4ffffff,872a100f5ffffff,872a100f6ffffff,872a10188ffffff,872a10189ffffff,872a1018affffff,872a1018bffffff,872a1018dffffff,872a10199ffffff,872a102b2ffffff,872a102b4ffffff,872a102b6ffffff,872a10380ffffff,872a10381ffffff,872a10382ffffff,872a10383ffffff,872a10384ffffff,872a10385ffffff,872a10386ffffff,872a1038cffffff,872a1038effffff,872a10390ffffff,872a10391ffffff,872a10392ffffff,872a10393ffffff,872a10394ffffff,872a10395ffffff,872a10396ffffff,872a10398ffffff,872a1039affffff,872a1039bffffff,872a1039cffffff,872a1039dffffff,872a1039effffff,872a103a0ffffff,872a103a2ffffff,872a103a3ffffff,872a103a4ffffff,872a103a6ffffff,872a103aaffffff,872a103aeffffff,872a103b0ffffff,872a103b1ffffff,872a103b2ffffff,872a103b3ffffff,872a103b4ffffff,872a103b5ffffff,872a103b6ffffff,872a10600ffffff,872a10601ffffff,872a10602ffffff,872a10603ffffff,872a10604ffffff,872a10605ffffff,872a10606ffffff,872a10608ffffff,872a10609ffffff,872a1060affffff,872a1060bffffff,872a1060cffffff,872a1060dffffff,872a1060effffff,872a10615ffffff,872a10618ffffff,872a10619ffffff,872a1061affffff,872a1061bffffff,872a1061cffffff,872a1061dffffff,872a1061effffff,872a10620ffffff,872a10621ffffff,872a10622ffffff,872a10623ffffff,872a10624ffffff,872a10625ffffff,872a10626ffffff,872a10628ffffff,872a10629ffffff,872a1062affffff,872a1062bffffff,872a1062cffffff,872a1062dffffff,872a1062effffff,872a10630ffffff,872a10631ffffff,872a10632ffffff,872a10633ffffff,872a10634ffffff,872a10635ffffff,872a10636ffffff,872a10656ffffff,872a10670ffffff,872a10672ffffff,872a10674ffffff,872a10676ffffff,872a106c4ffffff,872a106e0ffffff,872a106e1ffffff,872a106e2ffffff,872a106e3ffffff,872a106e4ffffff,872a106e5ffffff,872a106e6ffffff,872a106f1ffffff,872a106f5ffffff,872a10701ffffff,872a10705ffffff,872a10708ffffff,872a10709ffffff,872a1070affffff,872a1070bffffff,872a1070cffffff,872a1070dffffff,872a10719ffffff,872a1071bffffff,872a10720ffffff,872a10721ffffff,872a10723ffffff,872a10724ffffff,872a10725ffffff,872a10728ffffff,872a10729ffffff,872a1072affffff,872a1072bffffff,872a1072cffffff,872a1072dffffff,872a1072effffff,872a10740ffffff,872a10741ffffff,872a10742ffffff,872a10743ffffff,872a10744ffffff,872a10745ffffff,872a10746ffffff,872a10748ffffff,872a10749ffffff,872a1074cffffff,872a1074dffffff,872a1074effffff,872a10750ffffff,872a10751ffffff,872a10752ffffff,872a10753ffffff,872a10754ffffff,872a10755ffffff,872a10756ffffff,872a10758ffffff,872a1075affffff,872a1075cffffff,872a1075dffffff,872a1075effffff,872a10760ffffff,872a10761ffffff,872a10762ffffff,872a10763ffffff,872a10764ffffff,872a10765ffffff,872a10766ffffff,872a10768ffffff,872a10769ffffff,872a1076affffff,872a1076bffffff,872a1076cffffff,872a1076dffffff,872a1076effffff,872a10770ffffff,872a10771ffffff,872a10772ffffff,872a10773ffffff,872a10774ffffff,872a10775ffffff,872a10776ffffff
872a10000ffffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872a10001ffffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872a10002ffffff,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872a10003ffffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872a10004ffffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872a10005ffffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872a10006ffffff,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872a10008ffffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872a10009ffffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872a1000affffff,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
