hh_id,num_trips,person_id,person_num,day_id,travel_dow,day_num,is_complete,travel_date,summary_complete,num_complete_trip_surveys,begin_day,end_day,telecommute_time,delivery_2,delivery_3,delivery_4,delivery_5,delivery_6,delivery_7,delivery_8,delivery_9,delivery_996,shop_online,no_travel_1,no_travel_2,no_travel_3,no_travel_4,no_travel_5,no_travel_6,no_travel_7,no_travel_8,no_travel_9,no_travel_11,no_travel_12,no_travel_13,no_travel_99,wkday_weight,svnday_weight
22012096,0,2201209601,1,220120960105,7,5,0,10/09/2022,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22012096,0,2201209601,1,220120960106,1,6,0,10/10/2022,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22000050,0,2200005001,1,220000500101,4,1,0,10/13/2022,1,0,1,997,995,0,0,0,1,0,0,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,0
22000050,2,2200005001,1,220000500102,5,2,1,10/14/2022,1,2,1,1,995,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,215.7240677
22000050,0,2200005001,1,220000500103,6,3,1,10/15/2022,1,0,1,1,995,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,215.7240677
22000050,0,2200005001,1,220000500104,7,4,0,10/16/2022,1,0,1,1,995,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,0
22000050,0,2200005001,1,220000500105,1,5,1,10/17/2022,1,0,1,1,995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,359.5401128,215.7240677
22000050,2,2200005001,1,220000500106,2,6,1,10/18/2022,1,2,1,1,995,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,359.5401128,215.7240677
22000050,0,2200005001,1,220000500107,3,7,1,10/19/2022,1,0,1,1,995,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,359.5401128,215.7240677
22000105,14,2200010501,1,220001050101,1,1,1,10/17/2022,1,14,1,1,450,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,861.6302902,492.3601658
22000105,4,2200010501,1,220001050102,2,2,1,10/18/2022,1,4,1,1,450,0,0,0,0,0,0,0,0,1,1,995,995,995,995,995,995,995,995,995,995,995,995,995,861.6302902,492.3601658
22000105,10,2200010501,1,220001050103,3,3,1,10/19/2022,1,10,1,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,861.6302902,492.3601658
22023900,0,2202390001,1,220239000105,7,5,0,10/16/2022,1,0,1,1,995,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22000105,9,2200010501,1,220001050104,4,4,1,10/20/2022,1,9,1,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,861.6302902,492.3601658
22000105,12,2200010501,1,220001050105,5,5,1,10/21/2022,1,12,1,1,450,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,492.3601658
22000105,12,2200010501,1,220001050106,6,6,1,10/22/2022,1,12,1,1,450,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,492.3601658
22000105,0,2200010501,1,220001050107,7,7,1,10/23/2022,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,492.3601658
22000128,5,2200012801,1,220001280101,4,1,1,10/13/2022,1,5,1,1,0,0,0,0,0,0,0,0,0,1,1,995,995,995,995,995,995,995,995,995,995,995,995,995,1163.731813,581.8659064
22000128,8,2200012801,1,220001280102,5,2,1,10/14/2022,1,8,1,1,0,0,0,0,1,0,0,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,581.8659064
22000128,2,2200012801,1,220001280103,6,3,1,10/15/2022,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,581.8659064
22000128,5,2200012801,1,220001280104,7,4,1,10/16/2022,1,5,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,581.8659064
22000128,7,2200012801,1,220001280105,1,5,1,10/17/2022,1,7,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1163.731813,581.8659064
22000128,15,2200012801,1,220001280106,2,6,1,10/18/2022,1,15,1,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,1163.731813,581.8659064
22000128,11,2200012801,1,220001280107,3,7,0,10/19/2022,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,0,0
22000430,5,2200043001,1,220004300101,4,1,1,10/06/2022,1,5,1,1,995,0,0,0,0,0,0,0,0,1,1,995,995,995,995,995,995,995,995,995,995,995,995,995,50.96764312,29.1243675
22000430,0,2200043001,1,220004300102,5,2,1,10/07/2022,1,0,1,1,995,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,29.1243675
22000430,4,2200043001,1,220004300103,6,3,1,10/08/2022,1,4,1,1,995,0,0,0,0,0,0,0,0,1,1,995,995,995,995,995,995,995,995,995,995,995,995,995,0,29.1243675
22000430,0,2200043001,1,220004300104,7,4,1,10/09/2022,1,0,1,1,995,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,29.1243675
22000430,6,2200043001,1,220004300105,1,5,1,10/10/2022,1,6,1,1,995,0,0,0,1,0,0,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,50.96764312,29.1243675
22000430,7,2200043001,1,220004300106,2,6,1,10/11/2022,1,7,1,1,995,0,0,0,1,0,0,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,50.96764312,29.1243675
22000430,8,2200043001,1,220004300107,3,7,1,10/12/2022,1,8,1,1,995,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,995,995,995,50.96764312,29.1243675
22000460,0,2200046001,1,220004600101,3,1,1,10/19/2022,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59.1234881,35.47409286
22000460,5,2200046001,1,220004600102,4,2,1,10/20/2022,1,5,1,1,360,0,0,0,1,0,0,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,59.1234881,35.47409286
22000460,0,2200046001,1,220004600103,5,3,1,10/21/2022,1,0,1,1,360,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35.47409286
22000460,0,2200046001,1,220004600104,6,4,0,10/22/2022,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
