hh_id,vehicle_id,vehicle_num,year,fuel_type,hh_weight
22000050,2200005001,1,1998,1,359.5401128
22000128,2200012801,1,2022,1,1163.731813
22000430,2200043001,1,2017,1,203.8705725
22000607,2200060701,1,2021,1,3174.256313
22000655,2200065501,1,2020,1,333.376799
22000768,2200076801,1,2015,1,67.92033811
22000991,2200099101,1,2021,1,2740.263676
22001276,2200127601,1,2018,1,288.9114388
22001518,2200151801,1,2016,1,406.7660592
22001566,2200156601,1,2014,1,5043.332421
22001989,2200198901,1,2013,1,265.853167
22002589,2200258901,1,2018,5,590.8796895
22002918,2200291801,1,2016,1,1016.023774
22002932,2200293201,1,2010,1,798.010933
22003116,2200311601,1,2015,1,358.7899272
22003151,2200315101,1,2021,1,102.0314211
22003372,2200337201,1,2017,1,137.4046207
22003649,2200364901,1,2012,1,159.7841908
22003665,2200366501,1,2016,1,203.7170131
22004389,2200438901,1,2015,1,999.0799804
22004683,2200468301,1,2017,1,581.3349888
22004847,2200484701,1,2008,1,177.130357
22004991,2200499101,1,2017,1,493.9131429
22005648,2200564801,1,2015,1,515.9246958
22005724,2200572401,1,2017,1,860.3050544
22005724,2200572402,2,2016,1,860.3050544
22006248,2200624801,1,2014,2,61.47368157
22006248,2200624802,2,1993,1,61.47368157
22007018,2200701801,1,2021,1,2002.787986
22007018,2200701802,2,2020,1,2002.787986
22007018,2200701803,3,2011,1,2002.787986
22007018,2200701804,4,2018,1,2002.787986
22007030,2200703001,1,2022,1,723.198859
22008937,2200893701,1,2018,1,2498.626577
22009203,2200920301,1,2013,1,2926.654009
22009506,2200950601,1,2005,1,414.8430487
22009506,2200950602,2,2008,1,414.8430487
22009739,2200973901,1,2009,1,333.0460589
22010306,2201030601,1,2013,1,164.8766458
22010388,2201038801,1,2018,1,333.686431
22011162,2201116201,1,2017,1,189.9114722
22011555,2201155501,1,2020,1,177.3302199
22011974,2201197401,1,2009,1,138.3304072
22012096,2201209601,1,2016,1,160.3728308
22012227,2201222701,1,2008,1,1541.834988
22012227,2201222702,2,2009,1,1541.834988
22012227,2201222703,3,2004,1,1541.834988
22012434,2201243401,1,2020,2,873.6720263
22012784,2201278401,1,2018,1,1251.149276
22012784,2201278402,2,2012,1,1251.149276
22013397,2201339701,1,2014,1,103.7509697
22014064,2201406401,1,2014,1,3965.699149
22014212,2201421201,1,2011,1,593.095464
22014458,2201445801,1,2019,1,76.80653553
22014458,2201445802,2,2020,1,76.80653553
22015183,2201518301,1,2004,1,176.9562222
22015227,2201522701,1,2016,1,88.71338712
22015459,2201545901,1,2007,1,2377.41612
22015692,2201569201,1,2011,1,302.8691508
22015856,2201585601,1,2010,1,796.2163785
22016324,2201632401,1,2022,1,870.3397457
22016324,2201632402,2,2004,1,870.3397457
22016464,2201646401,1,2022,2,106.6409304
22016602,2201660201,1,2020,1,111.8878414
22017029,2201702901,1,2019,1,911.0875403
22017164,2201716401,1,2006,1,4392.091603
22017187,2201718701,1,2013,1,1084.729902
22017207,2201720701,1,2021,1,177.1714645
22017267,2201726701,1,2014,6,3384.935233
22018186,2201818601,1,2014,1,266.4429052
22018199,2201819901,1,2005,1,180.9504546
22018223,2201822301,1,2019,1,161.5813361
22018317,2201831701,1,2021,1,88.60200931
22018365,2201836501,1,2017,1,1066.378186
22018978,2201897801,1,2017,1,88.71776356
22019294,2201929401,1,2006,1,234.9120988
22019621,2201962101,1,2018,1,1500.9006
22019806,2201980601,1,2013,1,455.9720644
22019931,2201993101,1,2011,1,4005.57549
22019934,2201993401,1,2022,1,158.3462815
22020067,2202006701,1,2014,1,59.16082768
22020396,2202039601,1,2019,1,161.5813361
22020524,2202052401,1,2009,1,401.8490478
22020549,2202054901,1,2017,1,507.4857743
22020549,2202054902,2,2009,1,507.4857743
22021268,2202126801,1,2017,1,177.3170768
22022886,2202288601,1,2008,1,597.6644983
22022915,2202291501,1,2022,1,2183.552028
22022915,2202291502,2,2021,1,2183.552028
22023215,2202321501,1,2016,1,1059.723829
22023698,2202369801,1,2012,1,4391.876203
22023698,2202369802,2,2014,1,4391.876203
22024402,2202440201,1,2006,1,2195.149031
22025824,2202582401,1,2009,1,1897.243282
22025847,2202584701,1,2018,1,66.30142049
22025847,2202584702,2,2022,1,66.30142049
22026073,2202607301,1,2022,1,397.2182487
22026304,2202630401,1,1998,1,293.7657499
22026304,2202630402,2,2003,1,293.7657499
22026418,2202641801,1,2022,1,198.8817794
22026439,2202643901,1,2003,1,180.1389742
22026572,2202657201,1,2005,1,873.4618893
22026742,2202674201,1,2006,1,104.9357232
22026972,2202697201,1,2009,1,291.7125922
22027168,2202716801,1,2015,1,99.47407557
22027214,2202721401,1,2017,1,824.2471246
22027253,2202725301,1,2020,1,979.8629077
22027319,2202731901,1,2007,1,2645.461771
22027356,2202735601,1,2011,1,99.45814265
22027489,2202748901,1,2012,1,557.8701186
22027765,2202776501,1,2010,1,1258.659233
22027765,2202776502,2,2013,1,1258.659233
22027818,2202781801,1,2020,1,675.9924909
22027829,2202782901,1,2018,1,7626.036979
22027849,2202784901,1,2015,1,159.4623943
22027892,2202789201,1,2019,1,721.466531
22028000,2202800001,1,2019,1,213.0203543
22028396,2202839601,1,2018,1,198.8855957
22028527,2202852701,1,2016,1,317.3283076
22028627,2202862701,1,2017,1,218.4229043
22028627,2202862702,2,2017,1,218.4229043
22028637,2202863701,1,2010,1,99.45665904
22028772,2202877201,1,2019,2,66.30262502
22028815,2202881501,1,2019,3,1945.170204
22028836,2202883601,1,2019,1,198.9228626
22028930,2202893001,1,2013,1,1570.486388
22028940,2202894001,1,2020,1,1635.89346
22028940,2202894002,2,2022,4,1635.89346
22029216,2202921601,1,2021,1,201.1396716
22029216,2202921602,2,2017,1,201.1396716
22029287,2202928701,1,2008,1,2084.864951
22029334,2202933401,1,2021,1,478.6689208
22029552,2202955201,1,2019,1,198.8847213
22029558,2202955801,1,2007,1,2356.375389
22029558,2202955802,2,2021,4,2356.375389
22029568,2202956801,1,2020,1,1399.658356
22029605,2202960501,1,2009,1,1297.408598
22029836,2202983601,1,2009,1,394.7084625
22030060,2203006001,1,2020,1,1585.419567
22030354,2203035401,1,2015,1,198.8913235
22030437,2203043701,1,2012,1,99.44215561
22030437,2203043702,2,2003,1,99.44215561
22030527,2203052701,1,2015,1,1012.590871
22030549,2203054901,1,2015,1,274.6005326
22030549,2203054902,2,2017,4,274.6005326
22030624,2203062401,1,2015,1,1139.126259
22030684,2203068401,1,2009,1,859.5097897
22030684,2203068402,2,2015,1,859.5097897
22030860,2203086001,1,2019,1,198.9088465
22030887,2203088701,1,2020,1,243.2761868
22030905,2203090501,1,2005,1,198.8888196
22030956,2203095601,1,2017,1,381.7933942
