,origin,destination,flow,origin_centroid,destination_centroid
0,872a100d5ffffff,872a100d5ffffff,233740.3296043322,POINT (-73.92770161232309 40.74354854892256),POINT (-73.92770161232309 40.74354854892256)
1,872a100d5ffffff,872a106e2ffffff,220.4097689205106,POINT (-73.92770161232309 40.74354854892256),POINT (-74.26101188210572 40.493980308688165)
2,872a100d5ffffff,872a10622ffffff,10527.68156448166,POINT (-73.92770161232309 40.74354854892256),POINT (-74.16234296005008 40.62611904549877)
3,872a100d5ffffff,872a103b2ffffff,2780.524906616613,POINT (-73.92770161232309 40.74354854892256),POINT (-73.81966019600604 40.65390311608583)
4,872a100d5ffffff,872a1062affffff,3566.3520028331536,POINT (-73.92770161232309 40.74354854892256),POINT (-74.14506021895923 40.57118871404276)
5,872a100d5ffffff,872a10751ffffff,143.1320246021609,POINT (-73.92770161232309 40.74354854892256),POINT (-74.04143622776505 40.59256666424736)
6,872a100d5ffffff,872a1074cffffff,0.019523477545202908,POINT (-73.92770161232309 40.74354854892256),POINT (-73.95052287124642 40.55810928717554)
7,872a100d5ffffff,872a10050ffffff,29254.60319343549,POINT (-73.92770161232309 40.74354854892256),POINT (-73.74813465560402 40.74817388432795)
8,872a100d5ffffff,872a10765ffffff,46323.63553883457,POINT (-73.92770161232309 40.74354854892256),POINT (-73.89364547150159 40.63350072332568)
9,872a100d5ffffff,872a100e5ffffff,71238.11627893147,POINT (-73.92770161232309 40.74354854892256),POINT (-73.79367600929345 40.76553214262366)
10,872a100d5ffffff,872a10755ffffff,24942.64176950594,POINT (-73.92770161232309 40.74354854892256),POINT (-74.02725877549254 40.61143054072039)
11,872a100d5ffffff,872a1001dffffff,43138.04799563076,POINT (-73.92770161232309 40.74354854892256),POINT (-73.81061313969259 40.8206423769685)
12,872a100d5ffffff,872a10386ffffff,116.0402664922366,POINT (-73.92770161232309 40.74354854892256),POINT (-73.78849996704403 40.617744528032446)
13,872a100d5ffffff,872a103b5ffffff,9606.885250104342,POINT (-73.92770161232309 40.74354854892256),POINT (-73.75992142830323 40.65542052262639)
14,872a100d5ffffff,872a1076cffffff,32.31261582325784,POINT (-73.92770161232309 40.74354854892256),POINT (-73.89227347085483 40.596589061006036)
15,872a100d5ffffff,872a1060affffff,2959.9556472483255,POINT (-73.92770161232309 40.74354854892256),POINT (-74.20308239118003 40.53259038322685)
16,872a100d5ffffff,872a1072dffffff,170634.24611059047,POINT (-73.92770161232309 40.74354854892256),POINT (-73.98610587929241 40.70498255189208)
17,872a100d5ffffff,872a1000affffff,20005.108793698462,POINT (-73.92770161232309 40.74354854892256),POINT (-73.79497512378278 40.802521914054914)
18,872a100d5ffffff,872a10058ffffff,17783.313695271703,POINT (-73.92770161232309 40.74354854892256),POINT (-73.73129770605573 40.693106424954244)
19,872a100d5ffffff,872a100ceffffff,69749.63643423333,POINT (-73.92770161232309 40.74354854892256),POINT (-73.88076148807853 40.68929246029405)
20,872a100d5ffffff,872a1062cffffff,9823.482541275533,POINT (-73.92770161232309 40.74354854892256),POINT (-74.10109891439372 40.59090391009197)
21,872a100d5ffffff,872a100a4ffffff,19401.781923190967,POINT (-73.92770161232309 40.74354854892256),POINT (-73.91902147793039 40.91049011824065)
22,872a100d5ffffff,872a100c1ffffff,59621.175469714384,POINT (-73.92770161232309 40.74354854892256),POINT (-73.8664920549821 40.708157838397035)
23,872a100d5ffffff,872a10741ffffff,42937.25218522515,POINT (-73.92770161232309 40.74354854892256),POINT (-73.96614139247403 40.57615286823747)
24,872a100d5ffffff,872a1075cffffff,1124.5902140072885,POINT (-73.92770161232309 40.74354854892256),POINT (-74.02578245464449 40.574528861521266)
25,872a100d5ffffff,872a100f6ffffff,105829.6035288045,POINT (-73.92770161232309 40.74354854892256),POINT (-73.91482757988172 40.79942132756098)
26,872a100d5ffffff,872a100a8ffffff,563683.2391816562,POINT (-73.92770161232309 40.74354854892256),POINT (-73.91622333875611 40.83642717573155)
27,872a100d5ffffff,872a10601ffffff,1627.9884203321112,POINT (-73.92770161232309 40.74354854892256),POINT (-74.17487865750857 40.57033448490261)
28,872a100d5ffffff,872a10631ffffff,496.3848726776094,POINT (-73.92770161232309 40.74354854892256),POINT (-74.19219631499774 40.625260370324334)
29,872a100d5ffffff,872a1075effffff,226.36960885223692,POINT (-73.92770161232309 40.74354854892256),POINT (-74.05560246494873 40.57370534083039)
